11860,INFO,235,1,Introduct. to AI for Business,3,SB,29,1,1700,1815,OSB,207,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Walid,El Khazen
13053,INFO,250K,1,Int.to Blockchain for Business,3,SB,32,-7,1230,1345,OSB,207,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Harry,Halpin
13171,INFP,300,1,MBA Integrative Foundat.Period,0,SB,36,-1,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF
13172,INFP,300,9,MBA Integrative Foundat.Period,0,SB,6,4,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF
13181,ISLM,300,1,Grad.Sem.in Qur'anic Studies,3,AS,2,3,1530,1759,NICELY,101,true,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Radwan,El Sayed Ahmad
13170,ISLM,303,1,Seminar in Islamic Ethics,3,AS,1,4,1530,1645,BLISS,206,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Bashshar,Haydar
11863,ISLM,304,1,Sociology of Islam,3,AS,6,4,1400,1629,NICELY,412,false,false,true,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi
13160,ISLM,325,1,Graduate Seminar in Sufism,3,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF
13473,ISLM,395A,1,Islamic Stud. Compr.Exam,0,AS,0,0,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi
11864,ISLM,399A,1,MA in Islamic Studies Thesis,6,AS,2,3,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi
